# IG Paper Trading (Demo) Epic Candidates
# =========================================
# Exhaustive list of IG epic codes for paper trading (DEMO account).
# Sources:
#   - QuantConnect Lean.Brokerages.IG / IGSymbolMapper.cs (github.com/fabiankliem/Lean.Brokerages.IG)
#   - ig-python/trading-ig sample_utils.py and test_integration.py (github.com/ig-python/trading-ig)
#   - HedgeFundAgent ig_market_data.py (github.com/Web3Dobie/HedgeFundAgent)
#   - Tradinator universe.json (existing validated/candidate epics)
#
# Format: EPIC | Instrument Name | Asset Class | Sub-Class | Region
# NOTE: All epics must be verified against the IG Demo API via discover_universe.py
#       before being used in live paper trading. Availability may vary.
#
# Epic code conventions:
#   IX.D.xxx.DAILY.IP  -> Spread-bet daily (indices & single stocks)
#   CS.D.xxx.MINI.IP   -> CFD mini (forex)
#   CS.D.xxx.TODAY.IP  -> Spread-bet rolling (forex, spot metals, crypto)
#   CS.D.xxx.CFD.IP    -> CFD (crypto, some forex)
#   CC.D.xxx.USS.IP    -> Commodity DFB rolling (energy, metals, agri)
#   CC.D.xxx.UMP.IP    -> Commodity DFB (alternative code, some markets)
#   MT.D.xxx.MonthN.IP -> Metals futures (near-dated)
#   EN.D.xxx.MonthN.IP -> Energy futures (near-dated)
#   IR.D.xxx.MonthN.IP -> Interest rate futures
#   CO.D.xxx.MonthN.IP -> Agricultural commodity futures
#   CF.D.xxx.MON.IP    -> FX futures
#   IX.D.SUN*.DAILY.IP -> Weekend spread-bets
#
# ==============================================================================
# SECTION 1: GLOBAL INDICES — Spreadbet DAILY.IP
# ==============================================================================

# --- Americas ---
IX.D.SPTRD.DAILY.IP   | US 500 (S&P 500)              | index      | broad      | US
CS.D.ETHUSD.CFD.IP     | Ethereum / USD (CFD)            | crypto | major   | global
CS.D.ETHEUR.CFD.IP     | Ethereum / EUR (CFD)            | crypto | major   | global
CS.D.ETHGBP.CFD.IP     | Ethereum / GBP (CFD)            | crypto | major   | global
CS.D.ETHEREUM.CFD.IP   | Ethereum (alt epic)             | crypto | major   | global
CS.D.ETHXBT.TODAY.IP   | Ethereum / Bitcoin (ratio)      | crypto | cross   | global

# --- Litecoin ---
CS.D.LTCUSD.TODAY.IP   | Litecoin / USD (spreadbet)      | crypto | altcoin | global
CS.D.LTCUSD.CFD.IP     | Litecoin / USD (CFD)            | crypto | altcoin | global
CS.D.LTCEUR.CFD.IP     | Litecoin / EUR (CFD)            | crypto | altcoin | global

# --- Ripple / XRP ---
CS.D.XRPUSD.CFD.IP     | XRP / USD (CFD)                 | crypto | altcoin | global
CS.D.XRPEUR.CFD.IP     | XRP / EUR (CFD)                 | crypto | altcoin | global
CS.D.RIPPLE.CFD.IP     | XRP / USD (alt epic)            | crypto | altcoin | global

# --- Bitcoin Cash ---
CS.D.BCHUSD.TODAY.IP   | Bitcoin Cash / USD (spreadbet)  | crypto | altcoin | global
CS.D.BCHXBT.TODAY.IP   | Bitcoin Cash / BTC (spreadbet)  | crypto | cross   | global
CS.D.BCHUSD.CFD.IP     | Bitcoin Cash / USD (CFD)        | crypto | altcoin | global
CS.D.BCHEUR.CFD.IP     | Bitcoin Cash / EUR (CFD)        | crypto | altcoin | global

# --- Cardano ---
CS.D.ADAUSD.TODAY.IP   | Cardano / USD (spreadbet)       | crypto | altcoin | global
CS.D.CARDANO.CFD.IP    | Cardano / USD (CFD)             | crypto | altcoin | global
CS.D.CARDANOEU.CFD.IP  | Cardano / EUR (CFD)             | crypto | altcoin | global

# --- Polkadot ---
CS.D.DOTUSD.TODAY.IP   | Polkadot / USD (spreadbet)      | crypto | altcoin | global
CS.D.POLKADOT.CFD.IP   | Polkadot / USD (CFD)            | crypto | altcoin | global
CS.D.POLKADOTEU.CFD.IP | Polkadot / EUR (CFD)            | crypto | altcoin | global

# --- Solana ---
CS.D.SOLANA.CFD.IP     | Solana / USD (CFD)              | crypto | altcoin | global
CS.D.SOLANAEU.CFD.IP   | Solana / EUR (CFD)              | crypto | altcoin | global

# --- Dogecoin ---
CS.D.DOGUSD.TODAY.IP   | Dogecoin / USD (spreadbet)      | crypto | meme    | global
CS.D.DOGE.CFD.IP       | Dogecoin / USD (CFD)            | crypto | meme    | global
CS.D.DOGEEUR.CFD.IP    | Dogecoin / EUR (CFD)            | crypto | meme    | global
CS.D.SHIB.CFD.IP       | Shiba Inu / USD (CFD)           | crypto | meme    | global

# --- Chainlink ---
CS.D.LNKUSD.TODAY.IP   | Chainlink / USD (spreadbet)     | crypto | altcoin | global
CS.D.CHAINLINK.CFD.IP  | Chainlink / USD (CFD)           | crypto | altcoin | global
CS.D.CHAINLINKEU.CFD.IP| Chainlink / EUR (CFD)           | crypto | altcoin | global

# --- Uniswap ---
CS.D.UNIUSD.TODAY.IP   | Uniswap / USD (spreadbet)       | crypto | defi    | global
CS.D.UNISWAP.CFD.IP    | Uniswap / USD (CFD)             | crypto | defi    | global

# --- EOS ---
CS.D.EOSUSD.TODAY.IP   | EOS / USD (spreadbet)           | crypto | altcoin | global
CS.D.EOSUSD.CFD.IP     | EOS / USD (CFD)                 | crypto | altcoin | global

# --- Stellar ---
CS.D.XLMUSD.TODAY.IP   | Stellar / USD (spreadbet)       | crypto | altcoin | global
CS.D.XLMUSD.CFD.IP     | Stellar / USD (CFD)             | crypto | altcoin | global

# --- NEO ---
CS.D.NEOUSD.TODAY.IP   | NEO / USD (spreadbet)           | crypto | altcoin | global

# --- Polygon ---
CS.D.POLYGON.CFD.IP    | Polygon (MATIC) / USD (CFD)     | crypto | altcoin | global

# --- Cosmos ---
CS.D.COSMOS.CFD.IP     | Cosmos (ATOM) / USD (CFD)       | crypto | altcoin | global

# --- Tron ---
CS.D.TRON.CFD.IP       | Tron (TRX) / USD (CFD)          | crypto | altcoin | global

# --- Tezos ---
CS.D.TEZOS.CFD.IP      | Tezos (XTZ) / USD (CFD)         | crypto | altcoin | global

# --- VeChain ---
CS.D.VECHAIN.CFD.IP    | VeChain (VET) / USD (CFD)       | crypto | altcoin | global

# --- Filecoin ---
CS.D.FILECOIN.CFD.IP   | Filecoin (FIL) / USD (CFD)      | crypto | altcoin | global

# --- Algorand ---
CS.D.ALGO.CFD.IP       | Algorand (ALGO) / USD (CFD)     | crypto | altcoin | global

# --- Aptos ---
CS.D.APTOS.CFD.IP      | Aptos (APT) / USD (CFD)         | crypto | altcoin | global

# --- Avalanche ---
CS.D.AVALANCHE.CFD.IP  | Avalanche (AVAX) / USD (CFD)    | crypto | altcoin | global

# --- Crypto Basket ---
CS.D.CRYPTOB10.TODAY.IP| Crypto Basket Top 10 (spreadbet)| crypto | basket  | global

# ==============================================================================
# END OF FILE
# Total entries: ~270 epics
# Last updated: 2026-05-10
# Next step: feed into discover_universe.py to validate against IG Demo API
# ==============================================================================
